epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2597.59,1.02168,7.25126,0.61684,2.69734,1.32222,0.88799,0.89681,0.96085,0.76009,0.6831,0.68453,0.67068,0.2504,0.77046,3.43727,0.25883,0.80035,1.27896,0.00333219,0.00333219,0.00333219
2,5108.96,0.91455,4.77908,0.41063,1.63618,1.21393,0.95156,0.94251,0.98203,0.77385,0.84175,0.83147,0.83644,0.40626,0.78812,2.49825,0.11599,0.82427,1.29947,0.00657754,0.00657754,0.00657754
3,7667.96,0.97295,4.54405,0.30275,1.48929,1.25208,0.9534,0.94345,0.98097,0.77353,0.87864,0.85375,0.84601,0.45251,0.77566,2.29069,0.07861,1.10348,1.28213,0.00973489,0.00973489,0.00973489
4,10128.8,0.97202,4.28819,0.27117,1.35467,1.24265,0.98425,0.97608,0.9922,0.80276,0.95482,0.94514,0.94666,0.56298,0.73022,1.70167,0.06568,0.73393,1.22499,0.009604,0.009604,0.009604
5,12650.7,0.91777,3.69908,0.24503,1.15554,1.19747,0.98982,0.99035,0.9944,0.81467,0.98161,0.98105,0.98188,0.63726,0.70503,1.38913,0.05158,0.53877,1.19563,0.009472,0.009472,0.009472
6,15175.8,0.88348,3.34249,0.23357,1.04706,1.17354,0.99285,0.99458,0.99486,0.82678,0.98956,0.98974,0.99088,0.70314,0.67534,1.16116,0.03844,0.48666,1.16718,0.00934,0.00934,0.00934
7,17636.5,0.86089,3.1289,0.22254,0.97369,1.15628,0.99577,0.99657,0.99496,0.83421,0.9949,0.99552,0.99396,0.73278,0.66146,1.03308,0.03164,0.4097,1.15221,0.009208,0.009208,0.009208
8,20177.3,0.84143,2.91508,0.21466,0.92222,1.14631,0.9974,0.99737,0.99499,0.83895,0.99662,0.99633,0.99441,0.75579,0.65237,0.9496,0.02645,0.39617,1.13571,0.009076,0.009076,0.009076
9,22702.4,0.83209,2.78668,0.20725,0.88474,1.13806,0.99796,0.99776,0.99498,0.84332,0.99756,0.99727,0.99482,0.77814,0.64173,0.87538,0.02829,0.38142,1.12603,0.008944,0.008944,0.008944
10,25243.9,0.81899,2.67732,0.20425,0.85957,1.13015,0.9983,0.99847,0.99495,0.84507,0.99814,0.9983,0.99489,0.79879,0.63385,0.80301,0.02411,0.37235,1.11684,0.008812,0.008812,0.008812
11,27724.2,0.80611,2.54514,0.19682,0.82911,1.12463,0.99875,0.99908,0.99499,0.84923,0.99844,0.99877,0.99479,0.81088,0.62774,0.76551,0.02177,0.35436,1.11066,0.00868,0.00868,0.00868
12,30229.6,0.8019,2.48568,0.19307,0.8135,1.11976,0.99865,0.99828,0.99496,0.85176,0.9986,0.99819,0.99496,0.81995,0.62054,0.73771,0.02134,0.36657,1.10344,0.008548,0.008548,0.008548
13,32755.6,0.79194,2.40739,0.18634,0.78836,1.11478,0.99874,0.99867,0.99495,0.85614,0.99874,0.99867,0.99495,0.83005,0.6144,0.70501,0.01957,0.32479,1.09738,0.008416,0.008416,0.008416
14,35298,0.78819,2.34678,0.18375,0.77867,1.1121,0.99889,0.99929,0.99484,0.8576,0.99889,0.99929,0.99484,0.84212,0.61071,0.67062,0.01823,0.33317,1.09326,0.008284,0.008284,0.008284
15,37826.1,0.77992,2.29944,0.18115,0.76316,1.10735,0.99905,0.999,0.99499,0.86011,0.99905,0.999,0.99499,0.84692,0.60561,0.65141,0.01669,0.31063,1.0893,0.008152,0.008152,0.008152
16,40465.8,0.77664,2.23863,0.1787,0.74975,1.10593,0.99924,0.99932,0.99487,0.86122,0.99924,0.99932,0.99487,0.85328,0.59942,0.62857,0.01599,0.33069,1.08375,0.00802,0.00802,0.00802
17,43042.9,0.77013,2.1832,0.17628,0.7348,1.10257,0.99924,0.99945,0.99494,0.86383,0.99924,0.99945,0.99494,0.85657,0.59442,0.61489,0.01564,0.32157,1.07955,0.007888,0.007888,0.007888
18,45572.3,0.76611,2.14092,0.17458,0.72856,1.10049,0.99924,0.99949,0.99495,0.86672,0.99924,0.99949,0.99495,0.86139,0.58921,0.60143,0.01497,0.31881,1.07467,0.007756,0.007756,0.007756
19,2729.14,0.7542,2.06536,0.1735,0.70653,1.09339,0.99927,0.99958,0.99496,0.86764,0.99927,0.99958,0.99496,0.86507,0.58683,0.59292,0.01523,0.2917,1.07244,0.007624,0.007624,0.007624
20,5313.22,0.75615,2.07782,0.17238,0.71333,1.09539,0.99928,0.99979,0.995,0.8694,0.99928,0.99979,0.995,0.86698,0.58479,0.58661,0.0148,0.28922,1.07056,0.007492,0.007492,0.007492
21,7932.12,0.7558,2.04692,0.17092,0.7044,1.09442,0.99924,0.9998,0.995,0.86969,0.99924,0.9998,0.995,0.86957,0.58224,0.58042,0.01449,0.30422,1.06853,0.00736,0.00736,0.00736
22,10580.2,0.75089,2.01974,0.17148,0.69433,1.09305,0.99913,0.99994,0.995,0.87058,0.99913,0.99994,0.995,0.87161,0.57975,0.57515,0.01422,0.31171,1.06619,0.007228,0.007228,0.007228
23,13181.4,0.74964,1.98241,0.16686,0.69198,1.09173,0.99901,0.99985,0.995,0.87115,0.99901,0.99985,0.995,0.873,0.57799,0.56986,0.01399,0.3264,1.06474,0.007096,0.007096,0.007096
24,15762.4,0.74146,1.94553,0.16691,0.68484,1.08744,0.99898,0.99987,0.995,0.87163,0.99898,0.99987,0.995,0.87456,0.57566,0.56452,0.01374,0.3355,1.06278,0.006964,0.006964,0.006964
25,18368.3,0.73998,1.92781,0.16295,0.67316,1.08526,0.99901,0.99988,0.995,0.87253,0.99901,0.99988,0.995,0.87583,0.57341,0.56002,0.01353,0.33762,1.06109,0.006832,0.006832,0.006832
26,20942.7,0.73276,1.86513,0.16099,0.66346,1.08314,0.99903,0.99985,0.99499,0.8732,0.99903,0.99985,0.99499,0.87779,0.57132,0.55565,0.01338,0.33556,1.05938,0.0067,0.0067,0.0067
27,23435.7,0.73105,1.85973,0.15875,0.65472,1.08124,0.99902,0.99979,0.99498,0.87378,0.99902,0.99979,0.99498,0.87868,0.56924,0.55153,0.01324,0.33253,1.05768,0.006568,0.006568,0.006568
28,26135.3,0.72743,1.84059,0.15926,0.65332,1.08026,0.99905,0.99979,0.99496,0.87437,0.99905,0.99979,0.99496,0.87992,0.56741,0.54726,0.01313,0.33005,1.05628,0.006436,0.006436,0.006436
29,28744,0.72273,1.79478,0.15608,0.64592,1.07783,0.9991,0.9998,0.99495,0.87511,0.9991,0.9998,0.99495,0.88126,0.56539,0.54304,0.01303,0.32748,1.05462,0.006304,0.006304,0.006304
30,31888.9,0.7204,1.77904,0.15557,0.64091,1.07418,0.9991,0.99981,0.99495,0.876,0.9991,0.99981,0.99495,0.88275,0.56339,0.53869,0.01295,0.31997,1.05299,0.006172,0.006172,0.006172
31,34423.1,0.71653,1.74416,0.15261,0.62882,1.07363,0.99909,0.99985,0.99494,0.87625,0.99909,0.99985,0.99494,0.88369,0.56154,0.53434,0.01288,0.31678,1.05147,0.00604,0.00604,0.00604
32,37059.7,0.71441,1.72461,0.15123,0.62426,1.07197,0.99909,0.99986,0.99493,0.87677,0.99909,0.99986,0.99493,0.88527,0.55967,0.52993,0.01279,0.31507,1.04988,0.005908,0.005908,0.005908
33,39913.4,0.70942,1.71032,0.15039,0.6208,1.069,0.99912,0.99987,0.99495,0.87772,0.99912,0.99987,0.99495,0.88654,0.5578,0.52592,0.01266,0.31133,1.04835,0.005776,0.005776,0.005776
34,42578.3,0.70604,1.66866,0.14817,0.61381,1.0678,0.99915,0.99987,0.99496,0.87835,0.99915,0.99987,0.99496,0.88814,0.55588,0.52159,0.01255,0.3073,1.04676,0.005644,0.005644,0.005644
35,45158.1,0.70547,1.65085,0.14615,0.60853,1.06654,0.99917,0.99987,0.99496,0.87958,0.99917,0.99987,0.99496,0.88944,0.55378,0.51744,0.01239,0.30353,1.04509,0.005512,0.005512,0.005512
36,47674.6,0.70367,1.64601,0.14575,0.6089,1.06643,0.99917,0.99987,0.99494,0.88018,0.99917,0.99987,0.99494,0.89086,0.55177,0.51346,0.01232,0.30043,1.04336,0.00538,0.00538,0.00538
37,50207.9,0.70135,1.62668,0.14237,0.60385,1.0661,0.99913,0.99987,0.99494,0.88118,0.99913,0.99987,0.99494,0.89237,0.54947,0.50949,0.01216,0.29815,1.04145,0.005248,0.005248,0.005248
38,52697.2,0.69834,1.61097,0.14113,0.60058,1.06262,0.99913,0.99987,0.99493,0.88142,0.99913,0.99987,0.99493,0.89379,0.54736,0.50536,0.012,0.2963,1.03975,0.005116,0.005116,0.005116
39,55153.8,0.69634,1.59339,0.14047,0.59548,1.06276,0.99915,0.99987,0.99493,0.88226,0.99915,0.99987,0.99493,0.89524,0.54547,0.50119,0.01194,0.29354,1.03828,0.004984,0.004984,0.004984
40,57605.9,0.69271,1.55034,0.13907,0.58736,1.06155,0.99917,0.99985,0.99493,0.88298,0.99917,0.99985,0.99493,0.89683,0.54347,0.49689,0.01191,0.28137,1.03669,0.004852,0.004852,0.004852
41,60126.9,0.6889,1.53815,0.13741,0.58504,1.059,0.99919,0.99981,0.99491,0.88413,0.99919,0.99981,0.99491,0.89789,0.54137,0.49239,0.01178,0.28106,1.03495,0.00472,0.00472,0.00472
42,62652.6,0.68561,1.50503,0.1354,0.57229,1.05716,0.99917,0.9998,0.9949,0.88491,0.99917,0.9998,0.9949,0.89937,0.53958,0.48809,0.01171,0.28219,1.03354,0.004588,0.004588,0.004588
43,65183.6,0.68199,1.4976,0.13383,0.57226,1.05509,0.99917,0.99979,0.99489,0.88524,0.99917,0.99979,0.99489,0.90022,0.5377,0.48368,0.01164,0.27388,1.03207,0.004456,0.004456,0.004456
44,67666.8,0.68171,1.47818,0.13338,0.57241,1.05544,0.99915,0.99979,0.9949,0.88624,0.99915,0.99979,0.9949,0.90179,0.53557,0.47932,0.01155,0.27371,1.03038,0.004324,0.004324,0.004324
45,70277.6,0.67802,1.44042,0.1326,0.56779,1.05426,0.99914,0.99982,0.99491,0.88705,0.99914,0.99982,0.99491,0.90334,0.5336,0.47496,0.01145,0.28012,1.02884,0.004192,0.004192,0.004192
46,73099.6,0.67526,1.42658,0.13205,0.5607,1.05394,0.99915,0.99986,0.9949,0.88757,0.99915,0.99986,0.9949,0.90478,0.53137,0.47071,0.01138,0.27726,1.02709,0.00406,0.00406,0.00406
47,75740.6,0.66928,1.39839,0.12912,0.55202,1.04926,0.99916,0.9999,0.99488,0.88871,0.99916,0.9999,0.99488,0.90594,0.52918,0.46632,0.01128,0.26959,1.02529,0.003928,0.003928,0.003928
48,78467.3,0.66753,1.3873,0.12881,0.54635,1.04817,0.99916,1,0.99488,0.8898,0.99916,1,0.99488,0.90754,0.52686,0.4617,0.01121,0.26802,1.02347,0.003796,0.003796,0.003796
49,81171.3,0.66538,1.35579,0.1279,0.54286,1.04754,0.99914,1,0.99487,0.89077,0.99914,1,0.99487,0.90879,0.52485,0.45701,0.01111,0.27113,1.02185,0.003664,0.003664,0.003664
50,83735.5,0.65972,1.33737,0.12605,0.53301,1.04249,0.99915,1,0.99487,0.89099,0.99915,1,0.99487,0.91035,0.52277,0.4519,0.01098,0.2706,1.02027,0.003532,0.003532,0.003532
51,86712.8,0.65722,1.31143,0.12494,0.53411,1.04134,0.99914,1,0.99487,0.89178,0.99914,1,0.99487,0.91191,0.52083,0.44682,0.01086,0.27101,1.01866,0.0034,0.0034,0.0034
52,89310.6,0.65258,1.29487,0.12434,0.52516,1.03979,0.99915,1,0.99487,0.89262,0.99915,1,0.99487,0.9125,0.5187,0.44176,0.01077,0.26806,1.01695,0.003268,0.003268,0.003268
53,92215.6,0.65159,1.27972,0.1236,0.52287,1.03971,0.99919,1,0.99485,0.89301,0.99919,1,0.99485,0.91421,0.5165,0.43638,0.01063,0.26373,1.01508,0.003136,0.003136,0.003136
54,94711.3,0.64759,1.24889,0.12202,0.51308,1.03805,0.9992,1,0.99485,0.89419,0.9992,1,0.99485,0.91592,0.51396,0.43083,0.01054,0.26008,1.01305,0.003004,0.003004,0.003004
55,97414.1,0.64199,1.22054,0.12072,0.50672,1.03365,0.99924,1,0.99485,0.8945,0.99924,1,0.99485,0.91763,0.51161,0.42504,0.0104,0.25758,1.01104,0.002872,0.002872,0.002872
56,100048,0.63967,1.20915,0.12087,0.50212,1.03176,0.99927,1,0.99485,0.89543,0.99927,1,0.99485,0.91954,0.5093,0.41882,0.01026,0.25501,1.00918,0.00274,0.00274,0.00274
57,102709,0.63359,1.18346,0.11844,0.4986,1.02935,0.99928,1,0.99485,0.89619,0.99928,1,0.99485,0.92127,0.50679,0.41253,0.01015,0.25263,1.00712,0.002608,0.002608,0.002608
58,105309,0.63203,1.18613,0.11805,0.49154,1.02831,0.99929,1,0.99484,0.89684,0.99929,1,0.99484,0.92273,0.50435,0.40606,0.01003,0.25061,1.00509,0.002476,0.002476,0.002476
59,107903,0.62928,1.15227,0.11709,0.49147,1.02709,0.9993,1,0.99484,0.89757,0.9993,1,0.99484,0.92453,0.50207,0.39956,0.00984,0.2483,1.00313,0.002344,0.002344,0.002344
60,110715,0.62666,1.12871,0.11515,0.48346,1.02582,0.9993,1,0.99484,0.89836,0.9993,1,0.99484,0.92634,0.49964,0.39292,0.00967,0.24284,1.00104,0.002212,0.002212,0.002212
61,113226,0.61846,1.1045,0.11358,0.47502,1.02163,0.9993,1,0.99484,0.89894,0.9993,1,0.99484,0.92803,0.4971,0.38615,0.00952,0.24077,0.99895,0.00208,0.00208,0.00208
62,115702,0.61453,1.08369,0.11407,0.47002,1.01891,0.99932,1,0.99484,0.90003,0.99932,1,0.99484,0.92983,0.49455,0.37975,0.00934,0.23968,0.99676,0.001948,0.001948,0.001948
63,118648,0.61144,1.07247,0.1129,0.46358,1.01983,0.99935,1,0.99484,0.90097,0.99935,1,0.99484,0.93166,0.49209,0.3736,0.00914,0.23775,0.99463,0.001816,0.001816,0.001816
64,121182,0.60737,1.04441,0.11164,0.45932,1.01582,0.99937,1,0.99484,0.90174,0.99937,1,0.99484,0.93332,0.48967,0.36742,0.00897,0.23476,0.99257,0.001684,0.001684,0.001684
65,123731,0.60157,1.0104,0.11038,0.45137,1.01294,0.99938,1,0.99485,0.90303,0.99938,1,0.99485,0.93529,0.48711,0.36139,0.00882,0.23288,0.99042,0.001552,0.001552,0.001552
66,126499,0.46978,0.58124,0.02986,0.22051,1.04187,0.99938,1,0.99484,0.90443,0.99938,1,0.99484,0.937,0.48424,0.35479,0.00829,0.23028,0.98808,0.00142,0.00142,0.00142
67,129024,0.45736,0.53725,0.02709,0.2132,1.03054,0.99939,1,0.99484,0.90542,0.99939,1,0.99484,0.93861,0.48093,0.34789,0.00772,0.23267,0.98541,0.001288,0.001288,0.001288
68,131504,0.44808,0.50885,0.02592,0.20673,1.02281,0.9994,1,0.99484,0.90706,0.9994,1,0.99484,0.94035,0.47743,0.34122,0.00718,0.23204,0.98247,0.001156,0.001156,0.001156
69,2598.47,0.59643,0.97098,0.1154,0.44001,1.01221,0.99941,1,0.99484,0.90765,0.99941,1,0.99484,0.94127,0.47631,0.33768,0.00693,0.23152,0.9814,0.001024,0.001024,0.001024
70,5106.73,0.59134,0.96183,0.11273,0.43429,1.01046,0.99941,1,0.99484,0.90809,0.99941,1,0.99484,0.94261,0.47493,0.334,0.00667,0.23131,0.98016,0.000892,0.000892,0.000892
71,7659.32,0.58896,0.94181,0.11142,0.43117,1.00897,0.99942,1,0.99484,0.9084,0.99942,1,0.99484,0.94383,0.47347,0.33043,0.00642,0.23117,0.97885,0.00076,0.00076,0.00076
72,10212.2,0.58374,0.91987,0.11163,0.4239,1.00736,0.99942,1,0.99484,0.90892,0.99942,1,0.99484,0.94478,0.47189,0.3269,0.00618,0.2309,0.97744,0.000628,0.000628,0.000628
73,12780.8,0.58055,0.90305,0.10874,0.42151,1.00503,0.99942,1,0.99484,0.90939,0.99942,1,0.99484,0.94631,0.47027,0.32343,0.00593,0.23037,0.97598,0.000496,0.000496,0.000496
74,15316.2,0.57388,0.88206,0.10923,0.41767,1.0022,0.99943,1,0.99484,0.90997,0.99943,1,0.99484,0.94733,0.46872,0.32013,0.00569,0.22997,0.97464,0.000364,0.000364,0.000364
75,17917.3,0.57387,0.87009,0.10644,0.41111,1.00063,0.99943,1,0.99484,0.91089,0.99943,1,0.99484,0.94854,0.46706,0.31704,0.00545,0.22916,0.97321,0.000232,0.000232,0.000232
